Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C5, C6, C7, C9",0402,30,100n,C1525
"C3, C4",0402,2,30p,C159804
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D3, D4, D5, D6, D7, D8, D9",SK6812-EC20,19,SK6812,C2909058
D20,SOT-363_SC-70-6,1,~,C15879
DS1,368030501246,1,~,
F1,0805,1,Fuse,C116170
"R1, R2",0402,2,5.1k,C25905
"R10, R4",0402,2,10k,C25744
R11,0402,1,0,C17168
"R3, R5",0402,2,1k,C11702
"R6, R7",0402,2,27,C138021
"R8, R9",0603,2,22,C23345
SW1,TS-1003S-09526,1,Menu,C455228
SW10,SW_Hotswap_Kailh_Choc_V1V2,1,3P / RB,
SW11,SW_Hotswap_Kailh_Choc_V1V2,1,4P / LB,
SW12,SW_Hotswap_Kailh_Choc_V1V2,1,1K / A,
SW13,SW_Hotswap_Kailh_Choc_V1V2,1,2K / B,
SW14,SW_Hotswap_Kailh_Choc_V1V2,1,3K / RT,
SW15,SW_Hotswap_Kailh_Choc_V1V2,1,4K / LT,
SW16,SW_Hotswap_Kailh_Choc_V1V2,1,L3,
SW17,SW_Hotswap_Kailh_Choc_V1V2,1,R3,
SW18,SW_Hotswap_Kailh_Choc_V1V2,1,Touch,
"SW19, SW20",SKRAAKE010,2,SW_Push,C115354
SW2,TS-1003S-09526,1,Guide,C455228
SW21,K3-1245D-F1,1,SW_SPDT,C145859
"SW22, SW23",K3-1346E-F1,2,SW_SP3T,C502339
SW24,SSSS820101,1,SW_DPDT,C97434
SW3,TS-1003S-09526,1,View,C455228
SW4,SW_Hotswap_Kailh_Choc_V1V2,1,Left,
SW5,SW_Hotswap_Kailh_Choc_V1V2,1,Down,
SW6,SW_Hotswap_Kailh_Choc_V1V2,1,Right,
SW7,SW_Hotswap_Kailh_Choc_V1V2,1,Up,
SW8,SW_Hotswap_Kailh_Choc_V1V2,1,1P / X,
SW9,SW_Hotswap_Kailh_Choc_V1V2,1,2P / Y,
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23-5,1,SN74LV1T34DBVR,C100024
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,~,C165948
USB2,U-A-24DD-W-16,1,USB_A,C2689981
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
